city,timestamp,temperature,season
New York,2010-01-01,-0.8450927125454161,winter
New York,2010-01-02,3.1415201980560497,winter
New York,2010-01-03,7.267682744745885,winter
New York,2010-01-04,-7.36995107440423,winter
New York,2010-01-05,-2.692169251814809,winter
New York,2010-01-06,1.9663852752843105,winter
New York,2010-01-07,3.298453819619838,winter
New York,2010-01-08,0.2893091764652142,winter
New York,2010-01-09,-3.063233555844942,winter
New York,2010-01-10,-4.4321225965920235,winter
New York,2010-01-11,-2.4114592126129413,winter
New York,2010-01-12,-0.36435615856064557,winter
New York,2010-01-13,-4.74729640272322,winter
New York,2010-01-14,2.5269589610723955,winter
New York,2010-01-15,5.79114594939225,winter
New York,2010-01-16,1.475313444764474,winter
New York,2010-01-17,-2.7869519706958568,winter
New York,2010-01-18,-4.043110665616732,winter
New York,2010-01-19,-3.0889648572119692,winter
New York,2010-01-20,-1.328162058013994,winter
New York,2010-01-21,-2.754122305568367,winter
New York,2010-01-22,-6.505106121585207,winter
New York,2010-01-23,13.523661562287444,winter
New York,2010-01-24,4.241909792352568,winter
New York,2010-01-25,-7.580365504152691,winter
New York,2010-01-26,-9.961749609334872,winter
New York,2010-01-27,8.423845086539279,winter
New York,2010-01-28,-1.3078572386358123,winter
New York,2010-01-29,2.619157232633599,winter
New York,2010-01-30,2.9493614335018554,winter
New York,2010-01-31,2.5780687489337377,winter
New York,2010-02-01,3.0411747453938487,winter
New York,2010-02-02,11.31250160247271,winter
New York,2010-02-03,0.6278979958511404,winter
New York,2010-02-04,-4.588070365022411,winter
New York,2010-02-05,0.30553534954638095,winter
New York,2010-02-06,15.016536926029145,winter
New York,2010-02-07,7.317560370055459,winter
New York,2010-02-08,-5.399554399280793,winter
New York,2010-02-09,2.479789481390002,winter
New York,2010-02-10,0.5796430395637064,winter
New York,2010-02-11,-2.551876344064144,winter
New York,2010-02-12,5.302654436966536,winter
New York,2010-02-13,3.73558708173909,winter
New York,2010-02-14,-4.392938693560366,winter
New York,2010-02-15,-5.703989017856356,winter
New York,2010-02-16,1.204144871664215,winter
New York,2010-02-17,-3.284798373177358,winter
New York,2010-02-18,5.928917998260493,winter
New York,2010-02-19,-5.284623858565052,winter
New York,2010-02-20,-4.774442532251542,winter
New York,2010-02-21,5.459257221634165,winter
